loan_application_no,disbursed_date,disbursed_amount,source_entity_name,final_tpv,score,gender,age,industryy,status,city,state,pincode,disbursed_year,disbursed_month,disbursed_quarter,score_band,age_band,city_clean,is_metro_city,loan_to_tpv,amount_per_age,amount_x_score,predicted_income
2246,2025-01-13,479350.0,PPP,186975.5,768,Female,46.0,Retail And Shopping,DISBURSED,Kolkata,West Bengal,700040.0,2025.0,1.0,1.0,>750,46-60,kolkata,1,2.5637048704242,10420.652173913044,368140800.0,187195.72704999978
2247,2025-01-13,40513.0,PPP,17712.33,701,Male,42.0,Food & Beverages,DISBURSED,Jaipur,Rajasthan,302029.0,2025.0,1.0,1.0,700-749,36-45,jaipur,0,2.2872767162761756,964.5952380952381,28399613.0,17745.79785000004
2248,2025-01-15,81026.0,PPP,27605.16,746,Male,48.0,Food & Beverages,DISBURSED,South West Delhi,Delhi,110070.0,2025.0,1.0,1.0,700-749,46-60,south west delhi,0,2.935175887406557,1688.0416666666667,60445396.0,27706.354900000068
2249,2025-01-14,38824.0,BBB,84746.0,746,Male,37.0,Service And Utilities,CLOSED,K.V.Rangareddy,TELANGANA,501505.0,2025.0,1.0,1.0,700-749,36-45,k.v.rangareddy,0,0.45812191725863166,1049.2972972972973,28962704.0,86331.4425
2250,2025-01-12,149513.0,PPP,38543.83,734,Male,47.0,Food & Beverages,DISBURSED,Thane,Maharashtra,421302.0,2025.0,1.0,1.0,700-749,46-60,thane,0,3.8790384868343386,3181.127659574468,109742542.0,37518.86825000005
2251,2025-01-12,238225.0,BBB,76848.0,759,Male,35.0,Grocery And Daily Needs,DISBURSED,Hyderabad,Telangana,500090.0,2025.0,1.0,1.0,>750,31-35,hyderabad,1,3.099950551738497,6806.428571428572,180812775.0,76922.54055
2252,2025-01-12,190580.0,BBB,105541.0,753,Male,38.0,Others,DISBURSED,Bhiwani,Haryana,127032.0,2025.0,1.0,1.0,>750,36-45,bhiwani,0,1.805743739399854,5015.263157894737,143506740.0,106474.31294999983
2253,2025-01-12,47645.0,BBB,26582.0,711,Male,33.0,Grocery And Daily Needs,DISBURSED,Dehradun,Uttarakhand,248003.0,2025.0,1.0,1.0,700-749,31-35,dehradun,0,1.7923783011060115,1443.7878787878788,33875595.0,26885.23500000004
2254,2025-01-12,47645.0,BBB,17305.0,754,Female,22.0,Grocery And Daily Needs,DISBURSED,Mainpuri,Uttar Pradesh,205247.0,2025.0,1.0,1.0,>750,22-25,mainpuri,0,2.7532505056342096,2165.681818181818,35924330.0,17415.5656
2255,2025-01-12,476450.0,BBB,81446.0,736,Male,31.0,Grocery And Daily Needs,DISBURSED,Karim Nagar,TELANGANA,505467.0,2025.0,1.0,1.0,700-749,31-35,karim nagar,0,5.849888269528276,15369.354838709678,350667200.0,81371.91735
2256,2025-01-12,38824.0,BBB,46582.0,125,Female,27.0,Food & Beverages,CLOSED,Kurnool,Andhra Pradesh,518401.0,2025.0,1.0,1.0,<600,26-30,kurnool,0,0.8334549826113091,1437.9259259259259,4853000.0,46436.87745000001
2257,2025-01-12,99704.0,PPP,24897.0,751,Male,46.0,Food & Beverages,DISBURSED,Aligarh,Uttar Pradesh,202001.0,2025.0,1.0,1.0,>750,46-60,aligarh,0,4.004659195887054,2167.478260869565,74877704.0,25277.83130000001
2258,2025-01-12,58480.0,PPP,67666.66,746,Male,51.0,Grocery And Daily Needs,CLOSED,Mumbai,Maharashtra,400104.0,2025.0,1.0,1.0,700-749,46-60,mumbai,1,0.8642365383484274,1146.6666666666667,43626080.0,67501.6983000001
2259,2025-01-12,37644.0,BBB,4759.0,768,Male,29.0,Others,DISBURSED,Bagpat,Uttar Pradesh,250101.0,2025.0,1.0,1.0,>750,26-30,bagpat,0,7.910065139735239,1298.0689655172414,28910592.0,4751.799999999996
2260,2025-01-12,142935.0,BBB,322765.0,773,Male,45.0,Food & Beverages,DISBURSED,Kushalnagar,Karnataka,571234.0,2025.0,1.0,1.0,>750,36-45,kushalnagar,0,0.442845413845987,3176.3333333333335,110488755.0,320312.09569999995
2261,2025-01-12,85849.0,PPP,17835.5,773,Male,35.0,Food & Beverages,DISBURSED,Kolkata,West Bengal,700060.0,2025.0,1.0,1.0,>750,31-35,kolkata,1,4.813377813910459,2452.8285714285716,66361277.0,17248.514200000005
2262,2025-01-12,289380.0,PPP,372961.0000000001,757,Male,27.0,Grocery And Daily Needs,DISBURSED,Hyderabad,Telangana,500098.0,2025.0,1.0,1.0,>750,26-30,hyderabad,1,0.7758988205201077,10717.777777777777,219060660.0,371611.06500000006
2263,2025-01-12,42880.0,BBB,10413.0,705,Male,23.0,Grocery And Daily Needs,DISBURSED,Nizamabad,TELANGANA,503185.0,2025.0,1.0,1.0,700-749,22-25,nizamabad,0,4.117929511187938,1864.3478260869565,30230400.0,10193.88
2264,2025-02-05,42182.0,PPP,23043.0,725,Male,46.0,Retail And Shopping,DISBURSED,Nadia,West Bengal,741302.0,2025.0,2.0,1.0,700-749,46-60,nadia,0,1.8305776157618365,917.0,30581950.0,23093.381400000002
2265,2025-01-12,23822.0,BBB,5158.0,770,Male,49.0,Others,CLOSED,Ambala,Haryana,133001.0,2025.0,1.0,1.0,>750,46-60,ambala,0,4.618456766188445,486.16326530612247,18342940.0,5178.696999999998
2266,2025-01-12,33971.0,BBB,124017.0,701,Female,41.0,Food & Beverages,CLOSED,Faridabad,Haryana,121009.0,2025.0,1.0,1.0,700-749,36-45,faridabad,0,0.2739221235798318,828.560975609756,23813671.0,123816.92790000001
2267,2025-01-11,95870.0,PPP,51026.75,759,Male,29.0,Grocery And Daily Needs,DISBURSED,Ahmedabad,Gujarat,382330.0,2025.0,1.0,1.0,>750,26-30,ahmedabad,1,1.878818462865066,3305.862068965517,72765330.0,50983.293450000005
2268,2025-01-11,34725.0,PPP,16914.16,744,Male,34.0,Food & Beverages,DISBURSED,Ahmedabad,Gujarat,380027.0,2025.0,1.0,1.0,700-749,31-35,ahmedabad,1,2.0530135696954503,1021.3235294117648,25835400.0,16845.105250000022
2269,2025-01-11,142935.0,BBB,90438.0,740,Male,27.0,Others,DISBURSED,Ahmedabad,GUJARAT,382405.0,2025.0,1.0,1.0,700-749,26-30,ahmedabad,1,1.580475021561733,5293.888888888889,105771900.0,91717.87264999998
2270,2025-01-13,24115.0,PPP,27780.0,746,Male,59.0,Retail And Shopping,CLOSED,Thane,Maharashtra,401208.0,2025.0,1.0,1.0,700-749,46-60,thane,0,0.8680705543556515,408.728813559322,17989790.0,27825.46855000001
2271,2025-01-11,381160.0,BBB,108647.0,728,Male,37.0,Others,DISBURSED,Hyderabad,Telangana,500060.0,2025.0,1.0,1.0,700-749,36-45,hyderabad,1,3.5082422892486678,10301.621621621622,277484480.0,110814.46929999992
2272,2025-01-11,33971.0,BBB,15857.0,738,Male,27.0,Grocery And Daily Needs,CLOSED,Katihar,Bihar,854104.0,2025.0,1.0,1.0,700-749,26-30,katihar,0,2.142334615627168,1258.1851851851852,25070598.0,15811.671699999997
2273,2025-01-11,71467.0,BBB,107982.0,782,Male,32.0,Grocery And Daily Needs,DISBURSED,Nandyal,Andhra Pradesh,518501.0,2025.0,1.0,1.0,>750,31-35,nandyal,0,0.6618417884462225,2233.34375,55887194.0,109009.31445
2274,2025-01-11,235275.0,BBB,77392.0,739,Male,34.0,Automobiles,DISBURSED,Anantapur,Andhra Pradesh,515001.0,2025.0,1.0,1.0,700-749,31-35,anantapur,0,3.0400428984908,6919.85294117647,173868225.0,76713.47270000001
2275,2025-01-11,30867.0,PPP,25135.0,740,Male,26.0,Grocery And Daily Needs,CLOSED,Thane,Maharashtra,400601.0,2025.0,1.0,1.0,700-749,26-30,thane,0,1.228048537895365,1187.1923076923076,22841580.0,25036.684600000008
2276,2025-01-11,64232.0,PPP,20273.5,762,Female,54.0,Grocery And Daily Needs,DISBURSED,Kamrup,Assam,781020.0,2025.0,1.0,1.0,>750,46-60,kamrup,0,3.1682738550324316,1189.4814814814815,48944784.0,20161.277750000027
2277,2025-01-11,38824.0,BBB,14379.0,772,Female,41.0,Grocery And Daily Needs,CLOSED,Chittoor,Andhra Pradesh,517503.0,2025.0,1.0,1.0,>750,36-45,chittoor,0,2.700048682105849,946.9268292682926,29972128.0,14241.841650000002
2278,2025-01-11,479350.0,PPP,356555.5,762,Female,32.0,Retail And Shopping,DISBURSED,Bengaluru,Karnataka,560004.0,2025.0,1.0,1.0,>750,31-35,bengaluru,1,1.3443909854146128,14979.6875,365264700.0,354169.87164999964
2279,2025-01-12,112932.0,BBB,54323.0,786,Male,50.0,Grocery And Daily Needs,DISBURSED,Kurukshetra,Haryana,136030.0,2025.0,1.0,1.0,>750,46-60,kurukshetra,0,2.078898440807761,2258.64,88764552.0,53983.47510000001
2280,2025-01-11,24482.0,BBB,12015.0,135,Female,31.0,Grocery And Daily Needs,CLOSED,Lucknow,Uttar Pradesh,226021.0,2025.0,1.0,1.0,<600,31-35,lucknow,0,2.037619642114024,789.741935483871,3305070.0,11996.713150000001
2281,2025-01-11,18441.0,BBB,6814.0,149,Female,53.0,Food & Beverages,CLOSED,Kharagpur,West Bengal,721301.0,2025.0,1.0,1.0,<600,46-60,kharagpur,0,2.706339888464925,347.9433962264151,2747709.0,7032.91
2282,2025-01-11,285870.0,BBB,132453.0,788,Male,45.0,Grocery And Daily Needs,DISBURSED,Cuddapah,Andhra Pradesh,516115.0,2025.0,1.0,1.0,>750,36-45,cuddapah,0,2.1582750107585333,6352.666666666667,225265560.0,132831.59389999998
2283,2025-01-11,238225.0,BBB,135882.0,765,Male,58.0,Grocery And Daily Needs,DISBURSED,Mumbai,Maharashtra,400077.0,2025.0,1.0,1.0,>750,46-60,mumbai,1,1.7531755493737213,4107.327586206897,182242125.0,135513.9633
2284,2025-01-11,18105.0,BBB,26853.0,757,Male,36.0,Others,CLOSED,Srikakulam,Andhra Pradesh,532211.0,2025.0,1.0,1.0,>750,36-45,srikakulam,0,0.6742263434253156,502.9166666666667,13705485.0,26646.67220000001
2285,2025-01-11,238225.0,BBB,372961.0000000001,759,Female,43.0,Grocery And Daily Needs,DISBURSED,Mysore,Karnataka,570001.0,2025.0,1.0,1.0,>750,36-45,mysore,0,0.6387397073688668,5540.116279069767,180812775.0,371627.5250000001
2286,2025-01-11,14293.0,BBB,6262.0,726,Female,24.0,Automobiles,DISBURSED,Gauribidanur,Karnataka,561213.0,2025.0,1.0,1.0,700-749,22-25,gauribidanur,0,2.2824976045991696,595.5416666666666,10376718.0,6406.758649999999
2287,2025-01-11,169398.0,BBB,78155.0,722,Female,35.0,Grocery And Daily Needs,DISBURSED,Hyderabad,Telangana,500036.0,2025.0,1.0,1.0,700-749,31-35,hyderabad,1,2.167462094555691,4839.942857142857,122305356.0,77146.06420000001
2288,2025-01-11,48530.0,BBB,30024.0,765,Male,35.0,Grocery And Daily Needs,CLOSED,Chandigarh,Chandigarh,160102.0,2025.0,1.0,1.0,>750,31-35,chandigarh,0,1.6163735678124167,1386.5714285714287,37125450.0,30069.79215000003
2289,2025-01-11,33351.0,BBB,10576.0,742,Male,27.0,Grocery And Daily Needs,CLOSED,Patna,Bihar,800006.0,2025.0,1.0,1.0,700-749,26-30,patna,0,3.153460665658094,1235.2222222222222,24746442.0,10621.935749999993
2290,2025-01-11,62315.0,PPP,28751.66,121,Male,48.0,Grocery And Daily Needs,DISBURSED,Faridabad,Haryana,121005.0,2025.0,1.0,1.0,<600,46-60,faridabad,0,2.167353119785084,1298.2291666666667,7540115.0,28909.053150000065
2291,2025-01-11,38115.0,BBB,79147.0,756,Male,30.0,Automobiles,DISBURSED,Azamgarh,Uttar Pradesh,276406.0,2025.0,1.0,1.0,>750,26-30,azamgarh,0,0.48157226426775496,1270.5,28814940.0,78784.43985000001
2292,2025-01-11,63274.0,PPP,29594.5,161,Female,39.0,Grocery And Daily Needs,DISBURSED,North West Delhi,Delhi,110086.0,2025.0,1.0,1.0,<600,36-45,north west delhi,0,2.1380324046697865,1622.4102564102564,10187114.0,29417.805450000054
2293,2025-01-10,22185.0,PPP,12576.66,796,Male,32.0,Retail And Shopping,DISBURSED,Kanchipuram,Tamil Nadu,600048.0,2025.0,1.0,1.0,>750,31-35,kanchipuram,0,1.7639818520974568,693.28125,17659260.0,12719.78665
2294,2025-01-10,43141.0,PPP,15805.83,770,Male,34.0,Healthcare And Wellness,DISBURSED,Kamrup,Assam,781029.0,2025.0,1.0,1.0,>750,31-35,kamrup,0,2.729435910673467,1268.8529411764705,33218570.0,15526.81075000003
2295,2025-01-10,50811.0,PPP,77917.66,778,Male,38.0,Grocery And Daily Needs,DISBURSED,Sikar,Rajasthan,332001.0,2025.0,1.0,1.0,>750,36-45,sikar,0,0.6521114725467885,1337.1315789473683,39530958.0,77676.31435000007
2296,2025-01-10,61356.0,PPP,20540.5,744,Female,33.0,Food & Beverages,DISBURSED,Gadag,Karnataka,582118.0,2025.0,1.0,1.0,700-749,31-35,gadag,0,2.987074316594046,1859.2727272727273,45648864.0,20564.855000000007
2297,2025-01-10,10610.0,PPP,12981.66,746,Male,28.0,Grocery And Daily Needs,CLOSED,Dehradun,Uttarakhand,248007.0,2025.0,1.0,1.0,700-749,26-30,dehradun,0,0.8173068775487881,378.92857142857144,7915060.0,13019.552799999996
2298,2025-01-10,24482.0,BBB,372961.0000000001,135,Female,32.0,Grocery And Daily Needs,CLOSED,Nellore,Andhra Pradesh,524002.0,2025.0,1.0,1.0,<600,31-35,nellore,0,0.06564225213896357,765.0625,3305070.0,338277.0855499999
2299,2025-01-10,19174.0,PPP,22030.0,739,Male,52.0,Grocery And Daily Needs,CLOSED,Thane,Maharashtra,400708.0,2025.0,1.0,1.0,700-749,46-60,thane,0,0.8703586019064912,368.7307692307692,14169586.0,22044.329200000015
2300,2025-01-10,285870.0,BBB,34421.0,784,Female,42.0,Grocery And Daily Needs,DISBURSED,Adilabad,TELANGANA,504202.0,2025.0,1.0,1.0,>750,36-45,adilabad,0,8.305104442055722,6806.428571428572,224122080.0,34972.515
2301,2025-01-11,238225.0,BBB,71057.0,757,Male,24.0,Others,DISBURSED,Pune,Maharashtra,411040.0,2025.0,1.0,1.0,>750,22-25,pune,1,3.3525901740855932,9926.041666666666,180336325.0,70059.77230000001
2302,2025-01-10,98389.0,PPP,25124.33,757,Male,33.0,Food & Beverages,DISBURSED,Bengaluru,Karnataka,560085.0,2025.0,1.0,1.0,>750,31-35,bengaluru,1,3.9160845284232453,2981.4848484848485,74480473.0,25326.663950000006
2303,2025-01-10,23008.0,PPP,26476.33,729,Male,25.0,Service And Utilities,CLOSED,North West Delhi,Delhi,110086.0,2025.0,1.0,1.0,700-749,22-25,north west delhi,0,0.8690026147883788,920.32,16772832.0,26433.272250000053
2304,2025-01-10,479350.0,PPP,62169.0,776,Male,31.0,Grocery And Daily Needs,DISBURSED,Kurnool,Andhra Pradesh,518134.0,2025.0,1.0,1.0,>750,31-35,kurnool,0,7.710434460904953,15462.90322580645,371975600.0,59816.700300000004
2305,2025-01-10,56563.0,PPP,15766.66,771,Male,43.0,Healthcare And Wellness,DISBURSED,krishna,Andhra Pradesh,521456.0,2025.0,1.0,1.0,>750,36-45,krishna,0,3.5875068023284578,1315.4186046511627,43610073.0,15554.806800000006
2306,2025-01-10,479350.0,PPP,138572.0,759,Male,40.0,Food & Beverages,DISBURSED,Bengaluru,Karnataka,560011.0,2025.0,1.0,1.0,>750,36-45,bengaluru,1,3.4592125393297346,11983.75,363826650.0,138178.55454999997
2307,2025-01-10,125398.0,PPP,59277.0,767,Female,34.0,Grocery And Daily Needs,CLOSED,Nashik,Maharashtra,422009.0,2025.0,1.0,1.0,>750,31-35,nashik,0,2.115457934780775,3688.176470588235,96180266.0,58689.200350000014
2308,2025-01-10,476450.0,BBB,104331.0,759,Male,31.0,Grocery And Daily Needs,DISBURSED,Hyderabad,Telangana,500064.0,2025.0,1.0,1.0,>750,31-35,hyderabad,1,4.5667155495490315,15369.354838709678,361625550.0,104049.15804999998
2309,2025-01-10,470550.0,BBB,339865.0,726,Male,24.0,Others,DISBURSED,Bengaluru,Karnataka,560072.0,2025.0,1.0,1.0,700-749,22-25,bengaluru,1,1.384520324246392,19606.25,341619300.0,331078.42984999996
2310,2025-01-12,33971.0,BBB,7780.0,746,Female,29.0,Food & Beverages,CLOSED,Osmanabad,Maharashtra,413501.0,2025.0,1.0,1.0,700-749,26-30,osmanabad,0,4.366452442159383,1171.4137931034484,25342366.0,7903.401999999999
2311,2025-01-10,14380.0,PPP,17535.16,732,Male,43.0,Food & Beverages,CLOSED,Surat,Gujarat,395003.0,2025.0,1.0,1.0,700-749,36-45,surat,0,0.8200666546527092,334.4186046511628,10526160.0,16759.86315000002
2312,2025-01-10,140928.0,PPP,66857.66,760,Male,31.0,Healthcare And Wellness,CLOSED,Mysuru,Karnataka,571105.0,2025.0,1.0,1.0,>750,31-35,mysuru,0,2.1078811313468044,4546.064516129032,107105280.0,66930.48640000008
2313,2025-01-10,31637.0,PPP,18509.0,735,Male,38.0,Grocery And Daily Needs,CLOSED,Kalaburagi,Karnataka,585301.0,2025.0,1.0,1.0,700-749,36-45,kalaburagi,0,1.7092765681560322,832.5526315789474,23253195.0,18390.786350000006
2314,2025-01-10,33971.0,BBB,34156.0,715,Female,33.0,Automobiles,CLOSED,Bhopal,Madhya Pradesh,462023.0,2025.0,1.0,1.0,700-749,31-35,bhopal,0,0.9945836749033845,1029.4242424242425,24289265.0,34270.23915000001
2315,2025-01-10,188220.0,BBB,23500.0,776,Male,50.0,Grocery And Daily Needs,DISBURSED,Haveri,Karnataka,581110.0,2025.0,1.0,1.0,>750,46-60,haveri,0,8.00936170212766,3764.4,146058720.0,22479.838100000004
2316,2025-01-10,47935.0,PPP,144623.33,783,Male,46.0,Service And Utilities,DISBURSED,Surat,Gujarat,394210.0,2025.0,1.0,1.0,>750,46-60,surat,0,0.33144721532826,1042.0652173913043,37533105.0,145697.3635499995
2317,2025-01-10,13421.0,PPP,11076.6,732,Female,31.0,Food & Beverages,CLOSED,West Midnapore,West Bengal,721212.0,2025.0,1.0,1.0,700-749,31-35,west midnapore,0,1.211653395446256,432.93548387096774,9824172.0,11455.317100000007
2318,2025-01-10,9528.0,BBB,4689.2,776,Male,39.0,Others,CLOSED,Wardha,Maharashtra,442001.0,2025.0,1.0,1.0,>750,36-45,wardha,0,2.031903096477011,244.30769230769232,7393728.0,4719.579999999984
2319,2025-01-16,35471.0,PPP,20192.16,776,Male,33.0,Retail And Shopping,DISBURSED,Kolar,Karnataka,563157.0,2025.0,1.0,1.0,>750,31-35,kolar,0,1.7566718964192043,1074.878787878788,27525496.0,20347.551800000045
2320,2025-01-10,451547.0,PPP,66119.99,761,Male,41.0,Food & Beverages,DISBURSED,Kolkata,West Bengal,700063.0,2025.0,1.0,1.0,>750,36-45,kolkata,1,6.829205509559212,11013.341463414634,343627267.0,66670.78965000014
2321,2025-01-10,150576.0,BBB,89744.0,789,Male,29.0,Grocery And Daily Needs,DISBURSED,Bhavnagar,Gujarat,364001.0,2025.0,1.0,1.0,>750,26-30,bhavnagar,0,1.6778391870208593,5192.275862068966,118804464.0,88392.50074999999
2322,2025-01-10,50811.0,PPP,74803.0,728,Male,31.0,Food & Beverages,DISBURSED,Kamrup,Assam,781010.0,2025.0,1.0,1.0,700-749,31-35,kamrup,0,0.6792642006336644,1639.0645161290322,36990408.0,75086.64535000002
2323,2025-01-10,67109.0,PPP,52555.33,732,Female,45.0,Grocery And Daily Needs,CLOSED,Kurnool,Andhra Pradesh,518222.0,2025.0,1.0,1.0,700-749,36-45,kurnool,0,1.2769209136352107,1491.3111111111111,49123788.0,52044.79500000005
2324,2025-01-11,181051.0,BBB,63425.0,746,Male,33.0,Grocery And Daily Needs,DISBURSED,Bangalore Rural,Karnataka,560090.0,2025.0,1.0,1.0,700-749,31-35,bangalore rural,0,2.854568387859677,5486.393939393939,135064046.0,63232.03970000001
2325,2025-01-12,476450.0,BBB,201552.0,746,Male,31.0,Grocery And Daily Needs,DISBURSED,Hazipur,Bihar,844101.0,2025.0,1.0,1.0,700-749,31-35,hazipur,0,2.36390608875129,15369.354838709678,355431700.0,201908.2841999999
2326,2025-01-10,165911.0,PPP,29198.0,769,Male,35.0,Food & Beverages,DISBURSED,Jabalpur,Madhya Pradesh,482004.0,2025.0,1.0,1.0,>750,31-35,jabalpur,0,5.68227275840811,4740.314285714286,127585559.0,29460.36965000001
2327,2025-01-10,94110.0,BBB,13402.0,743,Male,35.0,Grocery And Daily Needs,DISBURSED,Thane,Maharashtra,421302.0,2025.0,1.0,1.0,700-749,31-35,thane,0,7.022086255782719,2688.8571428571427,69923730.0,13563.785
2328,2025-01-10,9587.0,PPP,130321.16,755,Male,30.0,Food & Beverages,CLOSED,Nashik,Maharashtra,422009.0,2025.0,1.0,1.0,>750,26-30,nashik,0,0.07356441578635427,319.56666666666666,7238185.0,139743.7543500001
2329,2025-01-10,470550.0,BBB,52640.0,725,Male,52.0,Food & Beverages,DISBURSED,Latur,Maharashtra,413512.0,2025.0,1.0,1.0,700-749,46-60,latur,0,8.939019756838906,9049.038461538461,341148750.0,51100.97495
2330,2025-01-10,19057.0,BBB,4689.2,768,Male,33.0,Grocery And Daily Needs,DISBURSED,Vizianagaram,Andhra Pradesh,535502.0,2025.0,1.0,1.0,>750,31-35,vizianagaram,0,4.064019448946516,577.4848484848485,14635776.0,4728.2459999999855
2331,2025-01-11,238225.0,BBB,77458.0,781,Male,37.0,Food & Beverages,DISBURSED,Mumbai,Maharashtra,400022.0,2025.0,1.0,1.0,>750,36-45,mumbai,1,3.075537710759379,6438.513513513513,186053725.0,77435.1564
2332,2025-01-10,235275.0,BBB,100504.0,732,Male,27.0,Grocery And Daily Needs,DISBURSED,Delhi,Delhi,110043.0,2025.0,1.0,1.0,700-749,26-30,delhi,1,2.340951603916262,8713.888888888889,172221300.0,100382.58230000001
2333,2025-01-10,53053.0,PPP,35885.33,776,Male,56.0,Food & Beverages,CLOSED,Kozhikode,Kerala,673028.0,2025.0,1.0,1.0,>750,46-60,kozhikode,0,1.4784035704840948,947.375,41169128.0,35514.05340000004
2334,2025-01-09,22050.0,PPP,25523.66,755,Male,34.0,Retail And Shopping,CLOSED,Bengaluru,Karnataka,562106.0,2025.0,1.0,1.0,>750,31-35,bengaluru,1,0.863904314663336,648.5294117647059,16647750.0,25294.166500000054
2335,2025-01-09,71467.0,BBB,55666.0,781,Male,59.0,Grocery And Daily Needs,DISBURSED,Alnavar,Karnataka,581103.0,2025.0,1.0,1.0,>750,46-60,alnavar,0,1.2838536988466929,1211.3050847457628,55815727.0,55638.94120000002
2336,2025-01-09,23822.0,BBB,17039.0,773,Male,36.0,Grocery And Daily Needs,CLOSED,Mahabub Nagar,TELANGANA,509382.0,2025.0,1.0,1.0,>750,36-45,mahabub nagar,0,1.3980867421797054,661.7222222222222,18414406.0,17145.27410000001
2337,2025-01-09,130383.0,PPP,134125.33,786,Male,45.0,Food & Beverages,DISBURSED,Khammam,Telangana,507111.0,2025.0,1.0,1.0,>750,36-45,khammam,0,0.972098260634289,2897.4,102481038.0,133563.64729999955
2338,2025-01-09,32938.0,BBB,58616.0,781,Female,39.0,Food & Beverages,DISBURSED,Gautam Buddh Nagar,Uttar Pradesh,201309.0,2025.0,1.0,1.0,>750,36-45,gautam buddh nagar,0,0.5619284836904599,844.5641025641025,25724578.0,60411.992800000015
2339,2025-01-11,67942.0,BBB,71258.0,102,Male,25.0,Food & Beverages,CLOSED,Gandhinagar,Gujarat,382424.0,2025.0,1.0,1.0,<600,22-25,gandhinagar,0,0.9534648741193971,2717.68,6930084.0,71811.49245
2340,2025-01-09,56563.0,PPP,24352.5,738,Male,29.0,Retail And Shopping,DISBURSED,Krishna,Andhra Pradesh,521151.0,2025.0,1.0,1.0,700-749,26-30,krishna,0,2.3226773431885843,1950.448275862069,41743494.0,24447.571450000014
2341,2025-01-10,57876.0,PPP,123987.48,757,Female,46.0,Grocery And Daily Needs,DISBURSED,East Godavari,Andhra Pradesh,533003.0,2025.0,1.0,1.0,>750,46-60,east godavari,0,0.46678906612183746,1258.1739130434783,43812132.0,135857.0455499999
2342,2025-01-09,87241.0,PPP,40068.33,145,Female,56.0,Food & Beverages,DISBURSED,Bengaluru,Karnataka,560011.0,2025.0,1.0,1.0,<600,46-60,bengaluru,1,2.1773056176786003,1557.875,12649945.0,40144.724350000055
2343,2025-01-09,94110.0,BBB,27636.0,754,Female,39.0,Food & Beverages,DISBURSED,West Godavari,Andhra Pradesh,534211.0,2025.0,1.0,1.0,>750,36-45,west godavari,0,3.4053408597481547,2413.076923076923,70958940.0,27872.675250000008
2344,2025-01-09,25884.0,PPP,18633.16,778,Male,24.0,Grocery And Daily Needs,CLOSED,Ghaziabad,Uttar Pradesh,201015.0,2025.0,1.0,1.0,>750,22-25,ghaziabad,0,1.389136356903499,1078.5,20137752.0,18455.98595000004
2345,2025-01-09,57522.0,PPP,50248.16,730,Female,40.0,Grocery And Daily Needs,CLOSED,Kamrup,Assam,781029.0,2025.0,1.0,1.0,700-749,36-45,kamrup,0,1.1447583354295958,1438.05,41991060.0,49868.84200000007
2346,2025-01-09,191740.0,PPP,197668.66,757,Male,39.0,Grocery And Daily Needs,CLOSED,North West Delhi,Delhi,110088.0,2025.0,1.0,1.0,>750,36-45,north west delhi,0,0.9700070815474744,4916.410256410257,145147180.0,198549.6890499996
2347,2025-01-10,141165.0,BBB,55210.0,751,Male,30.0,Grocery And Daily Needs,DISBURSED,Rampur,Uttar Pradesh,244901.0,2025.0,1.0,1.0,>750,26-30,rampur,0,2.5568737547545735,4705.5,106014915.0,54504.55090000001
2348,2025-01-09,167840.0,PPP,52203.8,778,Male,32.0,Retail And Shopping,DISBURSED,Faridabad,Haryana,121102.0,2025.0,1.0,1.0,>750,31-35,faridabad,0,3.2150916216827126,5245.0,130579520.0,51706.64735000002
2349,2025-01-09,23822.0,BBB,48851.0,758,Male,48.0,Grocery And Daily Needs,DISBURSED,Badaun,Uttar Pradesh,243601.0,2025.0,1.0,1.0,>750,46-60,badaun,0,0.48764610755153426,496.2916666666667,18057076.0,50689.960450000006
2350,2025-01-09,95870.0,PPP,43907.83,141,Male,38.0,Food & Beverages,DISBURSED,Faridabad,Haryana,121004.0,2025.0,1.0,1.0,<600,36-45,faridabad,0,2.1834374415679387,2522.8947368421054,13517670.0,43794.85790000005
2351,2025-01-12,14380.0,PPP,16602.5,776,Male,37.0,Service And Utilities,CANCELLED,Bengaluru,Karnataka,560040.0,2025.0,1.0,1.0,>750,36-45,bengaluru,1,0.8661346182803794,388.64864864864865,11158880.0,16637.146400000005
2352,2025-01-09,95290.0,BBB,252522.0,746,Male,23.0,Grocery And Daily Needs,DISBURSED,Adilabad,TELANGANA,504311.0,2025.0,1.0,1.0,700-749,22-25,adilabad,0,0.3773532603099928,4143.04347826087,71086340.0,254855.92364999975
2353,2025-01-09,479350.0,PPP,280476.83,758,Female,26.0,Food & Beverages,DISBURSED,Chittoor,Andhra Pradesh,517501.0,2025.0,1.0,1.0,>750,26-30,chittoor,0,1.7090538280826975,18436.53846153846,363347300.0,279409.1744499992
2354,2025-01-09,19412.0,BBB,16469.0,753,Female,41.0,Grocery And Daily Needs,CLOSED,Mysore,Karnataka,571125.0,2025.0,1.0,1.0,>750,36-45,mysore,0,1.1786993745825491,473.4634146341463,14617236.0,16408.757300000005
2355,2025-01-09,76203.0,PPP,23993.0,781,Male,50.0,Food & Beverages,DISBURSED,Ghaziabad,Uttar Pradesh,201003.0,2025.0,1.0,1.0,>750,46-60,ghaziabad,0,3.1760513483099237,1524.06,59514543.0,23889.958550000003
